source,target,value
strichliste@1.7.0,squel@^5.12.0,1
strichliste@1.7.0,yargs@^10.1.0,1
hexo-deployer-heroku@0.1.2,hexo-fs@^2.0.0,1
hexo-deployer-heroku@0.1.2,hexo-util@^2.1.0,1
hexo-deployer-heroku@0.1.2,nunjucks@^3.2.1,1
socket-chat-example@0.0.1,log4js@^1.1.0,1
socket-chat-example@0.0.1,socket.io@^1.0.3,1
nodejs-express-socketio-chatroom@1.0.0,socket.io@^1.0.3,1
zonegrid@0.0.1,socket.io@^1.0.3,1
my-feed-reader@1.0.0,socket.io@^1.0.3,1
RobotIcon@1.0.0,socket.io@^1.0.3,1
workshop-project@0.0.1,socket.io@^1.0.3,1
sve@0.0.1,socket.io@^1.0.3,1
whyilove@0.0.0,socket.io@^1.0.3,1
reveal.js@2.6.2,socket.io@^1.0.3,1
server@0.0.1,socket.io@^1.0.3,1
socket-chat-example@0.0.1,gulp-install@~0.6.0,1
grunt-optimusjs@0.1.5,merge@~1.1.2,1
grunt-optimusjs@0.1.5,grunt-contrib-copy@~0.5.0,1
grunt-optimusjs@0.1.5,grunt-contrib-requirejs@~0.4.1,1
grunt-optimusjs@0.1.5,mkpath@~0.1.0,1
grunt-optimusjs@0.1.5,grunt-filerev@~0.2.1,1
grunt-optimusjs@0.1.5,prettyjson@^0.12.0,1
Bernie@0.0.1,prettyjson@^0.12.0,1
grunt-optimusjs@0.1.5,colors@^0.6.2,1
inturn@1.0.1,amqp@^0.2.0,1
sdc@1.8.6,amqp@^0.2.0,1
inturn@1.0.1,amqp-rpc@0.0.8,1
netmon@1.0.0,minimist@*,1
netmon@1.0.0,netroute@*,1
netmon@1.0.0,snmp-native@*,1
run-command@1.0.2,custom-logger@^0.2.1,1
run-command@1.0.2,win-spawn@^2.0.0,1
home-inventory@0.0.0,sync-prompt@^0.4.1,1
zonegrid@0.0.1,eventerface@>= 0.0.5,1
sdc@1.8.6,sdc-clients@8.1.2,1
